Altium Designer Pick and Place Locations
C:\Users\abain\Desktop\ULSWAPDAQ\UL-SWAP-DAQ-1\Project Outputs for UL-SWAP-DAQ-1\Pick Place for UL-SWAP-DAQ-2.txt

========================================================================================================================
File Design Information:

Date:       31/03/23
Time:       09:35
Revision:   f05a8f9525054e2c2d4e3a4a99affeb82bae763d
Variant:    No variations
Units used: mil

Designator Comment                Layer       Footprint                      Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                                                                         
C39        GQM1875C2ER10BB12D     TopLayer    FP-GQM187-0_15-MFG             2805.000      2385.000      270      "Ceramic Capacitor 0.1pF ±0.1pF 250VDC C0G 0603 Paper T/R"                                                                                                                                                          
C38        CC0603KRX7R9BB392      TopLayer    FP-CC0603-DA-MFG               3078.204      2212.588      180      "CAP CER 3900PF 50V X7R 0603"                                                                                                                                                                                       
C37        CC0603KRX7R9BB392      TopLayer    FP-CC0603-DA-MFG               3188.204      2042.588      90       "CAP CER 3900PF 50V X7R 0603"                                                                                                                                                                                       
C36        CC0603KRX7R9BB392      TopLayer    FP-CC0603-DA-MFG               3078.204      1872.588      180      "CAP CER 3900PF 50V X7R 0603"                                                                                                                                                                                       
C35        CC0603KRX7R9BB392      TopLayer    FP-CC0603-DA-MFG               3074.999      1659.999      180      "CAP CER 3900PF 50V X7R 0603"                                                                                                                                                                                       
C34        CC0603KRX7R9BB392      TopLayer    FP-CC0603-DA-MFG               3174.999      1489.999      270      "CAP CER 3900PF 50V X7R 0603"                                                                                                                                                                                       
C33        CC0603KRX7R9BB392      TopLayer    FP-CC0603-DA-MFG               3074.999      1324.999      180      "CAP CER 3900PF 50V X7R 0603"                                                                                                                                                                                       
C32        GQM1875C2ER10BB12D     TopLayer    FP-GQM187-0_15-MFG             2785.000      1290.000      270      "Ceramic Capacitor 0.1pF ±0.1pF 250VDC C0G 0603 Paper T/R"                                                                                                                                                          
C31        CC0603KRX7R7BB104      TopLayer    FP-CC0603-DA-MFG               2590.000      2680.000      90       "CAP CER 0.1UF 16V X7R 0603"                                                                                                                                                                                        
C30        CC0603KRX7R7BB104      TopLayer    FP-CC0603-DA-MFG               2675.000      2680.000      90       "CAP CER 0.1UF 16V X7R 0603"                                                                                                                                                                                        
C29        GRM2165C1H302JA01D     TopLayer    FP-GRM216-0_1-IPC_A            2049.779      2827.089      0        "Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 3000pF, C0G, 30ppm/°C, 5%, 50V"                                                                                                                      
C27        GRM2195C1H622JA01D     TopLayer    FP-GRM219-0_1-IPC_C            2055.470      2375.000      0        "Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 6200pF, C0G, 30ppm/°C, 5%, 50V"                                                                                                                      
C25        CC0603KRX7R7BB104      TopLayer    FP-CC0603-DA-MFG               1949.999      2656.026      90       "CAP CER 0.1UF 16V X7R 0603"                                                                                                                                                                                        
C24        CC0603KRX7R7BB104      TopLayer    FP-CC0603-DA-MFG               1949.999      2535.000      270      "CAP CER 0.1UF 16V X7R 0603"                                                                                                                                                                                        
C22        CC0603KRX7R7BB104      TopLayer    FP-CC0603-DA-MFG               2590.000      2125.000      90       "CAP CER 0.1UF 16V X7R 0603"                                                                                                                                                                                        
C21        CC0603KRX7R7BB104      TopLayer    FP-CC0603-DA-MFG               2675.000      2125.000      90       "CAP CER 0.1UF 16V X7R 0603"                                                                                                                                                                                        
C18        GRM2195C1H622JA01D     TopLayer    FP-GRM219-0_1-IPC_C            2062.252      1748.360      0        "Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 6200pF, C0G, 30ppm/°C, 5%, 50V"                                                                                                                      
C16        CC0603KRX7R7BB104      TopLayer    FP-CC0603-DA-MFG               1949.999      2103.381      90       "CAP CER 0.1UF 16V X7R 0603"                                                                                                                                                                                        
C67        GQM1875C2ER10BB12D     TopLayer    FP-GQM187-0_15-MFG             2790.000      1840.000      270      "Ceramic Capacitor 0.1pF ±0.1pF 250VDC C0G 0603 Paper T/R"                                                                                                                                                          
C15        CC0603KRX7R7BB104      TopLayer    FP-CC0603-DA-MFG               1949.999      1991.619      270      "CAP CER 0.1UF 16V X7R 0603"                                                                                                                                                                                        
C8         0.1uF                  TopLayer    CAPC1050X55X23ML05T13          4130.000      2505.000      180      "Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel
CL05B104KO5NNNC"                                                                                                  
C7         18pF                   TopLayer    CAPC1005X55X25LL05T10          4130.000      2835.000      180      GRM1555C1H180GA01D                                                                                                                                                                                                  
C6         18pF                   TopLayer    CAPC1005X55X25LL05T10          3940.000      2835.000      0        GRM1555C1H180GA01D                                                                                                                                                                                                  
C3         0.1uF                  TopLayer    CAPC1050X55X23ML05T13          4325.000      2220.000      90       "Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel
CL05B104KO5NNNC"                                                                                                  
C2         0.1uF                  TopLayer    CAPC1050X55X23ML05T13          4325.000      2120.000      270      "Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel
CL05B104KO5NNNC"                                                                                                  
